cluster,geometry,totalPickUp,totalDropOff,stopTimeCount,stop_lon,stop_lat,nearest_distance
7986,POINT (-74.563821 39.354057999999995),0,0,177,-74.563821,39.354057999999995,192.40910838061887
7987,POINT (-74.50010200000001 39.420348),0,0,190,-74.50010200000001,39.420348,368.2966871350143
7988,POINT (-74.542791 39.37232800000001),0,0,177,-74.542791,39.37232800000001,189.4333092762625
7989,POINT (-74.485611 39.435379000000005),0,0,126,-74.485611,39.435379000000005,105.75971266626263
7990,POINT (-74.501571 39.41723),0,0,257,-74.501571,39.41723,368.2966871350143
7991,POINT (-74.569122 39.347468),0,0,177,-74.569122,39.347468,198.836651975653
7992,POINT (-74.594402 39.315708),0,0,177,-74.594402,39.315708,358.07147563056475
7993,POINT (-74.54537150158626 39.370253500771454),0,0,177,-74.54537150158626,39.370253500771454,299.3458815834755
7994,POINT (-74.496601 39.42760699999999),0,0,134,-74.496601,39.42760699999999,279.9224770989104
7995,POINT (-74.596531 39.312439),0,0,177,-74.596531,39.312439,405.6537411927946
7996,POINT (-74.584542 39.328307999999986),0,0,177,-74.584542,39.328307999999986,218.29073416473065
7997,POINT (-74.575053 39.340069),0,0,177,-74.575053,39.340069,163.79509687335926
7998,POINT (-74.56656 39.350419),0,0,177,-74.56656,39.350419,393.2297006731085
7999,POINT (-74.541313 39.37360799999999),0,0,177,-74.541313,39.37360799999999,189.4333092762625
8000,POINT (-74.557162 39.360668),0,0,87,-74.557162,39.360668,166.13611321729854
8001,POINT (-74.57853700008073 39.33568350001047),0,0,177,-74.57853700008073,39.33568350001047,173.90120491813147
8002,POINT (-74.553892 39.36324900000001),0,0,177,-74.553892,39.36324900000001,232.59190530002942
8003,POINT (-74.50027233334039 39.423849668950524),0,0,192,-74.50027233334039,39.423849668950524,243.57936624170455
8004,POINT (-74.585853 39.32661699999999),0,0,87,-74.585853,39.32661699999999,218.29073416473065
8005,POINT (-74.36527 40.74253699999999),0,0,26,-74.36527,40.74253699999999,458.8793477944301
8006,POINT (-74.362271 40.739098),0,0,292,-74.362271,40.739098,458.8793477944301
8007,POINT (-74.06415291 40.31292676000001),0,0,5,-74.06415291,40.31292676000001,298.4812049978233
8008,POINT (-74.07601649937504 40.34445250007119),0,0,101,-74.07601649937504,40.34445250007119,336.9760773458701
8009,POINT (-74.07505 40.338778),0,0,101,-74.07505,40.338778,203.42202770388346
8010,POINT (-74.319382 40.701328999999994),0,0,42,-74.319382,40.701328999999994,101.62191171152153
8011,POINT (-74.957121 39.709480000000006),0,0,124,-74.957121,39.709480000000006,225.10620343502853
8012,POINT (-74.96195 39.71227799999999),0,0,124,-74.96195,39.71227799999999,213.30264986442293
8013,POINT (-74.94957150011047 39.704684500085335),0,0,124,-74.94957150011047,39.704684500085335,252.2487808477861
8014,POINT (-74.947211 39.703298),0,0,124,-74.947211,39.703298,188.60207164168602
8015,POINT (-74.959883 39.71117900000001),0,0,124,-74.959883,39.71117900000001,213.30264986442293
8016,POINT (-74.955083 39.70817799999999),0,0,124,-74.955083,39.70817799999999,225.10620343502853
8017,POINT (-74.997761 39.734497999999995),0,0,75,-74.997761,39.734497999999995,306.0497446440241
8018,POINT (-74.994041 39.732219),0,0,75,-74.994041,39.732219,369.4555953598059
8019,POINT (-74.951793 39.706219),0,0,124,-74.951793,39.706219,253.8078106962005
8020,POINT (-75.00054300000001 39.73625800000001),0,0,75,-75.00054300000001,39.73625800000001,306.0497446440241
8021,POINT (-74.992452 39.68993900000001),0,0,74,-74.992452,39.68993900000001,190.9727289402271
8022,POINT (-74.98232650032743 39.70343900013265),0,0,148,-74.98232650032743,39.70343900013265,635.207126170926
8023,POINT (-74.98711300000001 39.69722),0,0,74,-74.98711300000001,39.69722,166.2310025526429
8024,POINT (-74.990543 39.730229),0,0,37,-74.990543,39.730229,102.77711746167087
8025,POINT (-75.021501 39.74945799999998),0,0,75,-75.021501,39.74945799999998,288.99032979602873
8026,POINT (-75.004801 39.738899),0,0,75,-75.004801,39.738899,464.6949966886925
8027,POINT (-75.040721 39.76468800000001),0,0,170,-75.040721,39.76468800000001,194.4091929653266
8028,POINT (-74.98606150019441 39.69848300010883),0,0,148,-74.98606150019441,39.69848300010883,166.2310025526429
8029,POINT (-75.046101 39.76998799999999),0,0,132,-75.046101,39.76998799999999,562.2507104435565
8030,POINT (-75.02453 39.751337),0,0,141,-75.02453,39.751337,125.65869369264294
8031,POINT (-74.989751 39.72952800000001),0,0,38,-74.989751,39.72952800000001,102.77711746167087
8032,POINT (-74.99045800030696 39.69266300014854),0,0,148,-74.99045800030696,39.69266300014854,346.6828620781637
8033,POINT (-75.02625 39.75242800000001),0,0,207,-75.02625,39.75242800000001,189.42204383707633
